Timestamp,ECG_CH1,ECG_CH2
2024-12-19 08:54:10,210830,16347
2024-12-19 08:54:10,209806,16358
2024-12-19 08:54:10,208855,16350
2024-12-19 08:54:10,208966,16353
2024-12-19 08:54:10,209575,16340
2024-12-19 08:54:10,210661,16249
2024-12-19 08:54:10,211381,16230
2024-12-19 08:54:10,211250,16271
2024-12-19 08:54:10,210804,16279
2024-12-19 08:54:10,210106,16286
2024-12-19 08:54:10,209255,16347
2024-12-19 08:54:10,208852,16285
2024-12-19 08:54:10,209276,16316
2024-12-19 08:54:10,210393,16306
2024-12-19 08:54:10,210808,16277
2024-12-19 08:54:10,211356,16273
2024-12-19 08:54:10,211234,16227
2024-12-19 08:54:10,210571,16183
2024-12-19 08:54:10,209720,16193
2024-12-19 08:54:10,208907,16213
2024-12-19 08:54:10,208779,16215
2024-12-19 08:54:10,209299,16218
2024-12-19 08:54:10,210605,16224
2024-12-19 08:54:10,211311,16120
2024-12-19 08:54:10,211303,16150
2024-12-19 08:54:10,210871,16121
2024-12-19 08:54:10,210118,16122
2024-12-19 08:54:10,209253,16216
2024-12-19 08:54:10,208887,16246
2024-12-19 08:54:10,209340,16206
2024-12-19 08:54:10,210294,16148
2024-12-19 08:54:10,211148,16087
2024-12-19 08:54:10,211467,16043
2024-12-19 08:54:10,211135,16084
2024-12-19 08:54:10,210764,16080
2024-12-19 08:54:10,209785,16075
2024-12-19 08:54:10,208988,16170
2024-12-19 08:54:10,208927,16136
2024-12-19 08:54:10,209368,16134
2024-12-19 08:54:10,210485,16091
2024-12-19 08:54:10,211358,16061
2024-12-19 08:54:10,211478,16013
2024-12-19 08:54:10,211069,15975
2024-12-19 08:54:10,210233,16018
2024-12-19 08:54:10,209458,16075
2024-12-19 08:54:10,208805,16099
2024-12-19 08:54:10,208997,16057
2024-12-19 08:54:10,209971,16051
2024-12-19 08:54:10,210910,16041
2024-12-19 08:54:10,211441,16010
2024-12-19 08:54:10,211298,16006
2024-12-19 08:54:10,210532,16011
2024-12-19 08:54:10,209665,15984
2024-12-19 08:54:10,208838,16044
2024-12-19 08:54:10,208704,16032
2024-12-19 08:54:10,209193,16124
2024-12-19 08:54:10,210339,16090
2024-12-19 08:54:10,211116,15976
2024-12-19 08:54:10,211397,15954
2024-12-19 08:54:10,211166,15984
2024-12-19 08:54:10,210343,15952
2024-12-19 08:54:10,209401,16003
2024-12-19 08:54:10,208684,15989
2024-12-19 08:54:10,208841,16057
2024-12-19 08:54:10,209579,15974
2024-12-19 08:54:10,210706,15978
2024-12-19 08:54:10,211222,15974
2024-12-19 08:54:10,210951,15931
2024-12-19 08:54:10,210478,15965
2024-12-19 08:54:10,209539,16023
2024-12-19 08:54:10,208618,15967
2024-12-19 08:54:10,208675,16005
2024-12-19 08:54:10,209439,16049
2024-12-19 08:54:10,210689,16027
2024-12-19 08:54:10,210953,16025
2024-12-19 08:54:10,211479,15952
2024-12-19 08:54:10,211204,15922
2024-12-19 08:54:10,210449,15899
2024-12-19 08:54:10,209629,15949
2024-12-19 08:54:10,208752,15916
2024-12-19 08:54:10,208797,15988
2024-12-19 08:54:10,209790,16046
2024-12-19 08:54:10,210857,15967
2024-12-19 08:54:10,211526,15920
2024-12-19 08:54:10,211408,15893
2024-12-19 08:54:10,210994,15948
2024-12-19 08:54:10,210199,15996
2024-12-19 08:54:10,209290,15966
2024-12-19 08:54:10,209000,15967
2024-12-19 08:54:10,209348,15971
2024-12-19 08:54:10,210631,16024
2024-12-19 08:54:10,211348,15951
2024-12-19 08:54:10,211453,15939
2024-12-19 08:54:10,211032,15889
2024-12-19 08:54:10,210623,15902
2024-12-19 08:54:10,209698,15901
2024-12-19 08:54:10,209016,15926
2024-12-19 08:54:10,208978,15910
2024-12-19 08:54:10,209664,15905
2024-12-19 08:54:10,210867,15935
2024-12-19 08:54:10,211504,15916
2024-12-19 08:54:10,211339,15862
2024-12-19 08:54:10,210695,15860
2024-12-19 08:54:10,209881,15898
2024-12-19 08:54:10,208986,15989
